scenario,token,observed,operator_bound,online_bound,online_realized_bound,diagonal_bound,structural_bound,transition_bound,A_norm,B_norm,spectral_radius_A,coefficient_error,update_error,rounding_error,rounding_bound,state_bound,energy_identity_error,driven_energy_identity_error,decomposition_error,approx_decomposition_error
marginal,11,0.0027,0.0027,0.0027,0.0027,0.0027,nan,0.0027,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,12,0.003,0.003,0.003,0.003,0.003,nan,0.003,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,13,0.0032,0.0032,0.0032,0.0032,0.0032,nan,0.0032,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,14,0.00345,0.00345,0.00345,0.00345,0.00345,nan,0.00345,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,15,0.00375,0.00375,0.00375,0.00375,0.00375,nan,0.00375,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,16,0.0039499999999999995,0.0039499999999999995,0.0039499999999999995,0.0039499999999999995,0.0039499999999999995,nan,0.0039499999999999995,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,17,0.0042,0.0042,0.0042,0.0042,0.0042,nan,0.0042,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,18,0.0045,0.0045,0.0045,0.0045,0.0045,nan,0.0045,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,19,0.004699999999999999,0.004699999999999999,0.004699999999999999,0.004699999999999999,0.004699999999999999,nan,0.004699999999999999,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,20,0.0049499999999999995,0.0049499999999999995,0.0049499999999999995,0.0049499999999999995,0.0049499999999999995,nan,0.0049499999999999995,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,21,0.0052499999999999995,0.0052499999999999995,0.0052499999999999995,0.0052499999999999995,0.0052499999999999995,nan,0.0052499999999999995,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,22,0.005449999999999999,0.005449999999999999,0.005449999999999999,0.005449999999999999,0.005449999999999999,nan,0.005449999999999999,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,nan,nan,0.0,0.0
marginal,23,0.005699999999999999,0.005699999999999999,0.005699999999999999,0.005699999999999999,0.005699999999999999,nan,0.005699999999999999,1.0,1.0,1.0,0.0,0.00025,0.0,0.0,0.0,nan,nan,0.0,0.0
