abstention_fraction,any_committed_coverage_failure,any_false_safe,any_local_false_safe,any_local_risk_violation,any_mean_risk_violation,any_pathwise_budget_violation,any_reported_coverage_failure,audit_cost_ms,audit_cost_ms_per_round,audit_fraction,audits,certificate_available_rounds,committed_catastrophes,committed_loss,delta,epsilon,exact_actions,fast_commit_fraction,fast_commits,fast_selective_risk,final_committed_upper,final_reported_upper,first_reset_round,intended_loss,intended_selective_risk,intended_weight,labels_observed,matched_exact_ms,matched_exact_tokens_per_second,max_local_intended_risk,max_pending_labels,policy,proposals,reset_cost_ms,reset_cost_ms_per_round,reset_reasons,reset_rounds,reset_shadow_actions,resets,rounds,saved_ms_per_round,seed,startup_budget,support_abstentions,throughput_reward_tokens_per_second,throughput_tokens_per_second,total_ms
0.31908333333333333,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8171,499,617.1213436559689,0.05,0.06,3829,0.6809166666666666,8171,0.0755258038986622,inf,-0.005379163238342882,,617.1213436559689,0.0755258038986622,8171.0,0,8880674.995901989,1.3512486388182692,0.16890021003128644,0,split_conformal,8171,0.0,0.0,[],[],0,0,12000,318.3106391318553,20265876,60.0,0,1.0198489494916039,2.371097588309873,5060947.326319725
0.66925,False,False,False,False,False,False,False,715815.834941506,59.65131957845884,0.05925,711,3969,0,31.745313368115106,0.05,0.06,5631,0.2715,3258,0.009743803980391376,84.89875730470294,0.022501411861740796,4200,29.64682098898668,0.009109261713949253,3254.580000000189,711,8424294.369895972,1.4244516481857201,0.01613233980523763,2,anytime_random_audit,3969,2090287.6747303638,174.19063956086364,['traffic_epoch_change_point'],[4200],2400,1,12000,75.3008058478358,20266885,60.0,0,0.1711477525501821,1.5955994007359022,7520684.699721943
0.46158333333333335,False,True,True,True,True,False,True,1254682.18185318,104.55684848776501,0.10575,1269,6461,214,303.22237423874907,0.05,0.06,5539,0.43266666666666664,5192,0.05840184403673904,inf,0.06017725529152384,,311.1695086209001,0.0602014991140811,5168.800000000627,1269,8667808.973521689,1.384432909938076,0.19744587670960484,3,importance_weighted_nominal,6461,0.0,0.0,[],[],0,0,12000,177.00411128686167,20266885,60.0,0,0.4493752773568511,1.8338081872949272,6543759.638079349
0.28775,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8547,484,633.5756764374473,0.05,0.06,3453,0.71225,8547,0.0741284282716096,inf,0.009111786215248142,,633.5756764374473,0.0741284282716096,8547.0,0,8927121.146429196,1.3442183435361958,0.22801479597686625,0,naive_calibration,8547,0.0,0.0,[],[],0,0,12000,333.92230436336024,20266885,60.0,0,1.0947795280247548,2.4389978715609506,4920053.494068873
0.30183333333333334,False,True,True,True,True,False,True,0.0,0.0,0.0,0,8378,429,558.4649678075828,0.05,0.06,3622,0.6981666666666667,8378,0.06665850654184564,inf,-0.005379163238342882,,558.4649678075828,0.06665850654184564,8378.0,0,8913478.578474244,1.3462757434543684,0.1687843270842526,0,split_conformal,8378,0.0,0.0,[],[],0,0,12000,327.3412018125538,20266885,60.0,0,1.060760429237771,2.4070361726921394,4985384.156723599
0.6765833333333333,False,False,False,False,False,False,False,705260.7613493601,58.771730112446676,0.058416666666666665,701,3881,1,25.096040719545737,0.05,0.06,5719,0.265,3180,0.007891836704259666,85.97020310145182,0.023316375410323435,4200,24.28568628016256,0.007631200872342817,3182.4200000001747,701,8419431.218593597,1.425274426317424,0.01187780442828662,2,anytime_random_audit,3881,2080437.06769175,173.36975564097915,['traffic_epoch_change_point'],[4200],2400,1,12000,72.59179371978506,20267894,60.0,0,0.1644812529566546,1.5897556792740786,7548329.693956177
0.37225,False,True,True,True,True,True,True,1504353.0078978671,125.36275065815559,0.12766666666666668,1532,7533,351,450.6183388328848,0.05,0.06,4467,0.5000833333333333,6001,0.07509054138191715,inf,0.060155360327843875,,438.71119605438196,0.07279822050549617,6026.400000000822,1532,8753228.099706754,1.3709228028002627,0.2125050863565985,3,importance_weighted_nominal,7533,0.0,0.0,[],[],0,0,12000,202.59039175771278,20267894,60.0,0,0.5271676458647221,1.8980904486649848,6322143.398614201
0.3005833333333333,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8393,528,678.9877141485916,0.05,0.06,3607,0.6994166666666667,8393,0.08089928680431212,inf,0.009111786215248142,,678.9877141485916,0.08089928680431212,8393.0,0,8900332.877237393,1.3482641790499779,0.23103039791266325,0,naive_calibration,8393,0.0,0.0,[],[],0,0,12000,327.2659270436682,20267894,60.0,0,1.0646974047320916,2.4129615837820695,4973141.752713374
0.31233333333333335,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8252,506,635.2394587890653,0.05,0.06,3748,0.6876666666666666,8252,0.07698006044462741,inf,-0.005379163238342882,,635.2394587890653,0.07698006044462741,8252.0,0,8888986.869856395,1.3499851193045878,0.2005498101812974,0,split_conformal,8252,0.0,0.0,[],[],0,0,12000,321.7024684711359,20267894,60.0,0,1.036385246527256,2.386370365831844,5028557.248202764
0.6699166666666667,False,False,False,False,False,False,False,758210.8775904232,63.18423979920193,0.0625,750,3961,1,32.905708163946244,0.05,0.06,5639,0.26758333333333334,3211,0.010247806964791729,98.26753600633907,0.026282916287918925,4200,31.770738930729266,0.009781571212839646,3248.020000000188,750,8413703.05588688,1.4262447724018343,0.016931692494289326,2,anytime_random_audit,3961,2051731.6907156364,170.9776408929697,['traffic_epoch_change_point'],[4200],2400,1,12000,74.05293491269633,20268903,60.0,0,0.16842523722939085,1.5946700096312252,7525067.836934524
