scenario,n_candidates,max_captures,optimized_objective,method,selected_layers,selected_count,feasible,information_bits,bayes_accepted_tokens,round_time_ms,throughput_tokens_per_second,capture_bytes,capture_latency_ms,capture_effective_ms,objective_value,fraction_of_optimum,oracle_evaluations
informative_but_expensive_small,5,2,information,greedy_information,1 2,2,1,0.9352292292117348,0.9900000000000002,10.189777777777778,97.15619139006414,8960.0,9.1,9.149777777777778,0.9352292292117348,1.0,10
informative_but_expensive_small,5,2,information,cost_aware_greedy,2 3,2,1,0.5319045755255379,0.8400000000000003,1.902622222222221,441.49594711392507,9472.0,0.21000000000000002,0.2626222222222222,0.5319045755255379,0.5687424632502749,10
informative_but_expensive_small,5,2,information,pair_bundle_greedy,1 2,2,1,0.9352292292117348,0.9900000000000002,10.189777777777778,97.15619139006414,8960.0,9.1,9.149777777777778,0.9352292292117348,1.0,50
informative_but_expensive_small,5,2,information,true_optimum,1 2,2,1,0.9352292292117348,0.9900000000000002,10.189777777777778,97.15619139006414,8960.0,9.1,9.149777777777778,0.9352292292117348,1.0,16
informative_but_expensive_small,5,2,throughput,greedy_information,1 2,2,1,0.9352292292117348,0.9900000000000002,10.189777777777778,97.15619139006414,8960.0,9.1,9.149777777777778,0.09715619139006414,0.2042130613313061,10
informative_but_expensive_small,5,2,throughput,cost_aware_greedy,2 3,2,1,0.5319045755255379,0.8400000000000003,1.902622222222221,441.49594711392507,9472.0,0.21000000000000002,0.2626222222222222,0.44149594711392504,0.9279824336004113,10
informative_but_expensive_small,5,2,throughput,dinkelbach_pair_bundle,2,1,1,0.3656904453594335,0.8400000000000002,1.7655999999999992,475.7589487992754,4608.0,0.1,0.12560000000000002,0.4757589487992754,1.0,70
informative_but_expensive_small,5,2,throughput,true_optimum,2,1,1,0.3656904453594335,0.8400000000000002,1.7655999999999992,475.7589487992754,4608.0,0.1,0.12560000000000002,0.4757589487992754,1.0,32
l45_restricted_small,8,5,information,current_5,5 14 24 33 42,5,1,1.200994438738916,3.6494367804298884,58.64536437430228,62.22890452410642,46592.0,0.4954,0.7172666666666666,1.200994438738916,0.6707353940919558,1
l45_restricted_small,8,5,information,greedy_information,8 10 14 33 38,5,1,1.7905636847520578,4.695836059779343,52.8509778616898,88.85050475448675,44032.0,0.4684,0.6780761904761905,1.7905636847520578,1.0,31
l45_restricted_small,8,5,information,cost_aware_greedy,5 8 10 33 38,5,1,1.7719175244699163,4.668443059996011,52.97812507478385,88.12020156255139,42496.0,0.4522,0.6545619047619047,1.7719175244699163,0.9895864299935674,31
l45_restricted_small,8,5,information,pair_bundle_greedy,8 10 14 33 38,5,1,1.7905636847520578,4.695836059779343,52.8509778616898,88.85050475448675,44032.0,0.4684,0.6780761904761905,1.7905636847520578,1.0,285
l45_restricted_small,8,5,information,true_optimum,8 10 14 33 38,5,1,1.7905636847520578,4.695836059779343,52.8509778616898,88.85050475448675,44032.0,0.4684,0.6780761904761905,1.7905636847520578,1.0,219
l45_restricted_small,8,5,throughput,current_5,5 14 24 33 42,5,1,1.200994438738916,3.6494367804298884,58.64536437430228,62.22890452410642,46592.0,0.4954,0.7172666666666666,0.06222890452410641,0.7003776140164696,1
l45_restricted_small,8,5,throughput,greedy_information,8 10 14 33 38,5,1,1.7905636847520578,4.695836059779343,52.8509778616898,88.85050475448675,44032.0,0.4684,0.6780761904761905,0.08885050475448675,1.0,31
l45_restricted_small,8,5,throughput,cost_aware_greedy,5 8 10 33 38,5,1,1.7719175244699163,4.668443059996011,52.97812507478385,88.12020156255139,42496.0,0.4522,0.6545619047619047,0.08812020156255139,0.9917805397509745,31
l45_restricted_small,8,5,throughput,dinkelbach_pair_bundle,8 10 14 33 38,5,1,1.7905636847520578,4.695836059779343,52.8509778616898,88.85050475448675,44032.0,0.4684,0.6780761904761905,0.08885050475448675,1.0,570
l45_restricted_small,8,5,throughput,true_optimum,8 10 14 33 38,5,1,1.7905636847520578,4.695836059779343,52.8509778616898,88.85050475448675,44032.0,0.4684,0.6780761904761905,0.08885050475448675,1.0,438
near_duplicate,44,5,information,current_5,5 14 24 33 42,5,1,1.8529406660766397,4.797846555817792,52.32911060966882,91.68599465803449,46592.0,0.4954,0.7172666666666666,1.8529406660766397,,1
near_duplicate,44,5,information,greedy_information,19 21 23 29 30,5,1,2.9185228615993926,6.059394761774688,45.38491928642969,133.51119396143724,45568.0,0.4946,0.7115904761904761,2.9185228615993926,,211
near_duplicate,44,5,information,cost_aware_greedy,18 19 21 23 30,5,1,2.8870704632314013,6.0304944328244785,45.51919490517966,132.48244933563763,44544.0,0.4748,0.6869142857142857,2.8870704632314013,,211
near_duplicate,44,5,information,pair_bundle_greedy,20 22 23 30 31,5,1,2.9606321043752715,6.097424377873134,45.18608020741205,134.94032564641336,44544.0,0.5098,0.7219142857142857,2.9606321043752715,,27771
near_duplicate,44,5,throughput,current_5,5 14 24 33 42,5,1,1.8529406660766397,4.797846555817792,52.32911060966882,91.68599465803449,46592.0,0.4954,0.7172666666666666,0.0916859946580345,,1
near_duplicate,44,5,throughput,greedy_information,19 21 23 29 30,5,1,2.9185228615993926,6.059394761774688,45.38491928642969,133.51119396143724,45568.0,0.4946,0.7115904761904761,0.13351119396143724,,211
near_duplicate,44,5,throughput,cost_aware_greedy,18 19 21 23 30,5,1,2.8870704632314013,6.0304944328244785,45.51919490517966,132.48244933563763,44544.0,0.4748,0.6869142857142857,0.13248244933563763,,211
near_duplicate,44,5,throughput,dinkelbach_pair_bundle,20 22 23 30 31,5,1,2.9606321043752715,6.097424377873134,45.18608020741205,134.94032564641336,44544.0,0.5098,0.7219142857142857,0.13494032564641334,,55542
change_point,44,5,information,current_5,5 14 24 33 42,5,1,1.200994438738916,3.6494367804298884,58.64536437430228,62.22890452410642,46592.0,0.4954,0.7172666666666666,1.200994438738916,,1
change_point,44,5,information,greedy_information,8 10 13 34 38,5,1,1.8874129972511855,4.844494198531515,52.03335809855285,93.10362382062458,44032.0,0.4684,0.6780761904761905,1.8874129972511855,,211
change_point,44,5,information,cost_aware_greedy,6 10 13 34 38,5,1,1.8767559926050656,4.829497925847429,52.10667569355343,92.6848213125392,44544.0,0.4568,0.6689142857142857,1.8767559926050656,,211
change_point,44,5,information,pair_bundle_greedy,8 10 13 34 38,5,1,1.8874129972511855,4.844494198531515,52.03335809855285,93.10362382062458,44032.0,0.4684,0.6780761904761905,1.8874129972511855,,19761
change_point,44,5,throughput,current_5,5 14 24 33 42,5,1,1.200994438738916,3.6494367804298884,58.64536437430228,62.22890452410642,46592.0,0.4954,0.7172666666666666,0.06222890452410641,,1
change_point,44,5,throughput,greedy_information,8 10 13 34 38,5,1,1.8874129972511855,4.844494198531515,52.03335809855285,93.10362382062458,44032.0,0.4684,0.6780761904761905,0.09310362382062459,,211
change_point,44,5,throughput,cost_aware_greedy,6 10 13 34 38,5,1,1.8767559926050656,4.829497925847429,52.10667569355343,92.6848213125392,44544.0,0.4568,0.6689142857142857,0.0926848213125392,,211
change_point,44,5,throughput,dinkelbach_pair_bundle,8 10 13 34 38,5,1,1.8874129972511855,4.844494198531515,52.03335809855285,93.10362382062458,44032.0,0.4684,0.6780761904761905,0.09310362382062459,,39522
expensive_late,44,5,information,current_5,5 14 24 33 42,5,1,2.228088226531028,5.315473985757913,77.37834876636127,68.69459054764312,46592.0,24.3648,24.586666666666666,2.228088226531028,,1
expensive_late,44,5,information,greedy_information,37 38 39 41 42,5,1,3.0240348792463774,6.153283394171874,73.92639719317783,83.2352668031781,48128.0,26.7702,26.99938095238095,3.0240348792463774,,211
expensive_late,44,5,information,cost_aware_greedy,37 38 39 40 43,5,1,2.2545133834554028,5.348609133442692,53.41432654209163,100.13435495115479,45568.0,0.6376,0.8545904761904761,2.2545133834554028,,211
expensive_late,44,5,information,pair_bundle_greedy,37 38 39 41 42,5,1,3.0240348792463774,6.153283394171874,73.92639719317783,83.2352668031781,48128.0,26.7702,26.99938095238095,3.0240348792463774,,19761
expensive_late,44,5,throughput,current_5,5 14 24 33 42,5,1,2.228088226531028,5.315473985757913,77.37834876636127,68.69459054764312,46592.0,24.3648,24.586666666666666,0.06869459054764311,,1
expensive_late,44,5,throughput,greedy_information,37 38 39 41 42,5,1,3.0240348792463774,6.153283394171874,73.92639719317783,83.2352668031781,48128.0,26.7702,26.99938095238095,0.08323526680317811,,211
expensive_late,44,5,throughput,cost_aware_greedy,37 38 39 40 43,5,1,2.2545133834554028,5.348609133442692,53.41432654209163,100.13435495115479,45568.0,0.6376,0.8545904761904761,0.1001343549511548,,211
expensive_late,44,5,throughput,dinkelbach_pair_bundle,37 38 39 40 44,5,1,2.2588529105939865,5.354011340291122,53.39118728462881,100.27893389500495,46592.0,0.6474,0.8692666666666666,0.10027893389500496,,59283
